Country,State,Industry,Job Title,Education Level,Age_range,Years of Experience,Gender,Lead Source,is_sale
Brazil,,,,,,,,School,FALSE
United States,North Carolina,Others,Analyst,,40-55,> 20 Years,Male,Web,TRUE
United States,IL,Transport - Logistic,Driver delivery,,25-40,,Male,Web,TRUE
United States,IL,Healthcare,Senior Scientist II,,25-40,< 5 Years,Female,Google,TRUE
United States,CA,Civil construction,Gm,,40-55,5-10 Years,Male,Facebook,TRUE
United States,Arizona,Others,Program / Portfolio Manager,,55+,> 20 Years,Male,Google,TRUE
United States,,,,,,> 20 Years,,Facebook,FALSE
Spain,,,,,,5-10 Years,,Web,FALSE
United States,,,,,,10-15 Years,,Facebook,FALSE
Ghana,Greater Accra,Consulting,manager,,40-55,5-10 Years,Male,Google,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
Iran (Islamic Republic of),,,,,,5-10 Years,,Google,FALSE
United States,,,,,,10-15 Years,,Google,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Web,FALSE
United States,,,,,,15-20 Years,,Google,FALSE
United States,,,,,,15-20 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,School,FALSE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,,,,,,,,Web,FALSE
United States,,,,,,< 5 Years,,inbound,FALSE
United States,IL,Education,,,55+,> 20 Years,Female,Facebook,FALSE
United States,IL,Education,Science teacher,,55+,> 20 Years,Female,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,South Carolina,Banking & Financial Services,,,40-55,15-20 Years,Female,Google,FALSE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,,,,,,10-15 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
,,,,,,,,Web,FALSE
Mexico,Sonora,Electronics / Hardware,Quality Engineer,,25-40,,Male,School,FALSE
United States,,,,,,15-20 Years,,Facebook,FALSE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Google,FALSE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Google,FALSE
United States,NY,Others,HA,,55+,> 20 Years,Male,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,Virginia,IT Services,,,25-40,< 5 Years,Male,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,10-15 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Google,FALSE
,,,,,,,,,TRUE
Iran (Islamic Republic of),,,حص,,,10-15 Years,,Google,FALSE
United States,TX,Banking & Financial Services,Sr Financial Crimes Investigator,,25-40,5-10 Years,Male,Google,FALSE
United States,IL,Healthcare,Medical Research Specialist,,25-40,< 5 Years,Female,Web,TRUE
United States,New Jersey,Industrial Goods,Technical Consultant,,55+,,Male,Facebook,TRUE
United States,IL,Healthcare,Scientist,,25-40,5-10 Years,Male,Google,TRUE
